artist,track,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,label
Lorde,Hard Feelings/Loveless,1Dp7JGFNjvg8Nk0CtMCcnr,0.487,0.445,1,-10.959,0,0.113,0.0328,0.0104,0.0778,0.18,97.031,367391,4,jojo
Kanye West,The New Workout Plan,1Vp4St7JcXaUoJcIahtf3L,0.704,0.792,2,-4.831,1,0.198,0.00981,0.0,0.365,0.646,118.022,322800,4,jojo
Kanye West,Pt. 2,1Wsbr1d2BouNGk2q92mIj7,0.674,0.752,11,-4.073,1,0.333,0.552,0.0,0.787,0.236,145.076,130293,4,jojo
Payday,Lil Green Car,18C38zObsOM359wD9v9pE6,0.686,0.792,0,-4.155,0,0.0633,0.33,1.14e-05,0.213,0.671,92.073,115435,4,jojo
Boosie Badazz,"Wipe Me Down (feat. Foxx, Webbie & Lil Boosie) - Remix",6D1CstH1YvzNN8cPd9ay9Q,0.836,0.906,1,-2.902,1,0.279,0.000426,0.0,0.227,0.718,165.091,272347,4,jojo
MGMT,Electric Feel,3FtYbEfBqAlGO46NUDQSAt,0.763,0.803,1,-3.713,1,0.0351,0.0709,0.285,0.348,0.561,103.04,229640,3,jojo
Alice Longyu Gao,Rich Bitch Juice - Laura Les Remix,0hfjiQ13PQ4TcHOXyi1NWx,0.706,0.656,9,-4.177,0,0.29,0.034,0.000167,0.163,0.82,165.639,140564,4,jojo
dj-Jo,Two Faced Lovers,1U8wnQrnAlWPByturxKdcD,0.587,0.955,11,-1.614,0,0.127,0.0838,0.00801,0.155,0.643,158.992,181148,4,jojo
Flo Milli,Weak,599VJEzv4zz9vGKVEz3C7e,0.864,0.699,5,-4.103,0,0.0994,0.239,0.0,0.233,0.818,150.05,155818,4,jojo
Yeah Yeah Yeahs,Heads Will Roll - A-Trak Remix,2idmlkd8oUaQvYEtINpLBX,0.744,0.614,1,-3.908,0,0.0838,0.00685,0.334,0.0708,0.774,131.994,383547,4,jojo
Rico Nasty,Hatin,3Wk4qCyx4m5aoafRxftp43,0.872,0.878,1,-4.511,1,0.249,0.0499,0.0,0.0705,0.902,163.98,140347,4,jojo
Coco & Clair Clair,TLG,7MGdmqh3XYOQdssUS1GGiT,0.748,0.764,8,-8.773,1,0.12,0.188,0.0,0.149,0.561,123.992,146625,4,jojo
Rich The Kid,Nasty (feat. Rubi Rose),3e77Cqc4gp1GLirOzGznD6,0.877,0.54,1,-7.398,1,0.391,0.0503,0.0,0.0883,0.544,158.07,185133,4,jojo
Fiona Apple,Under The Table,12WhIX6MvI93bS3wPSStSY,0.64,0.494,0,-8.14,1,0.0602,0.295,4.8e-06,0.248,0.547,119.854,201352,4,jojo
Saweetie,Sway With Me (with GALXARA),5gqLY5H1ZyT3BScVr0nDMs,0.621,0.849,3,-4.243,0,0.0489,0.00468,5e-06,0.328,0.875,130.979,168018,4,jojo
Still Woozy,Maybe She,5U8hidWugxHXvh1AzZYwKF,0.623,0.528,11,-11.49,0,0.154,0.509,0.00222,0.108,0.564,88.024,169091,4,jojo
Outkast,B.O.B. - Bombs Over Baghdad,3WibbMr6canxRJXhNtAvLU,0.746,0.978,9,-5.324,1,0.0978,0.0555,4.11e-05,0.026,0.653,153.809,304227,4,jojo
Mitski,Lonesome Love,5hgWjrfgnDb29uCaQ1UovU,0.376,0.729,2,-7.336,1,0.0527,0.332,2.47e-06,0.676,0.214,176.784,110919,3,jojo
Vince Staples,Lift Me Up,6mXwoyzrpb4T5Iveoo4k5G,0.664,0.612,1,-7.687,1,0.0362,0.00186,0.000986,0.126,0.307,120.099,271960,4,jojo
Fickle Friends,San Francisco,3dHQi60AqDoXhivIpbCvjb,0.667,0.732,1,-5.426,1,0.0385,0.0274,1.14e-06,0.0655,0.724,115.02,187293,4,jojo
illuminati hotties,(You're Better) Than Ever,09kvp605VBJEeK65QIgnrx,0.452,0.967,9,-3.042,1,0.0669,0.0645,0.0477,0.197,0.629,156.988,141133,4,jojo
The Veronicas,Untouched,4WkOdYTTcPa7WefKMK1iYL,0.557,0.817,6,-3.721,0,0.238,0.0169,0.0215,0.139,0.508,177.001,254360,4,jojo
Holy Fuck,Airport Dreams,7n8ZZoNLVtHA5GXvyZLIGa,0.704,0.812,5,-9.3,0,0.0677,0.0355,0.763,0.199,0.53,117.981,176898,4,jojo
Bobby Shmurda,Hot N*gga,19gEmPjfqSZT0ulDRfjl0m,0.794,0.51,9,-7.314,1,0.42,0.0505,1.81e-06,0.0562,0.18,167.879,194561,4,jojo
girl in red,dead girl in the pool.,5MAjVARSIDzwz8jFG36hFu,0.689,0.662,7,-6.732,1,0.0612,0.218,3.25e-05,0.395,0.673,129.957,186643,4,jojo
Rina Sawayama,Cherry,49eeirITrqP3pJALseu6Ed,0.577,0.79,3,-3.458,1,0.0494,0.0129,5.06e-06,0.334,0.645,102.03,205224,4,jojo
Gorillaz,Rhinestone Eyes,1foMv2HQwfQ2vntFf9HFeG,0.676,0.703,8,-5.815,0,0.0302,0.0869,0.000687,0.0463,0.852,92.761,200173,4,jojo
Smino,L.M.F.,2KmYPKHvwG77NAcDpFlLBm,0.898,0.677,1,-6.907,1,0.362,0.354,4.85e-06,0.449,0.864,155.02,188500,4,jojo
Machine Girl,Kill Screen,1TT5R4Aq3g1xuwob3FWhWT,0.214,0.97,8,-5.525,1,0.207,0.00567,8.8e-06,0.695,0.201,160.127,227997,4,jojo
Chloe x Halle,Happy Without Me (feat. Joey Bada$$),1mQI744KrltnCU798zIGEe,0.57,0.576,1,-6.792,1,0.0631,0.228,0.0,0.33,0.438,143.943,206947,4,jojo
Voxtrot,The Start Of Something,6K5GAopLZzzg0ZX8k5GWwh,0.632,0.733,8,-6.924,1,0.0293,0.179,1.04e-05,0.0988,0.707,107.056,271747,4,jojo
Carly Rae Jepsen,Real Love,70SnF1RJLB3blEDBWjrig3,0.603,0.603,11,-6.458,1,0.0455,0.231,0.0,0.136,0.233,119.838,234920,4,jojo
Guerilla Toss,Can I Get the Real Stuff,45Ggd1QivaMGZRIuFWBGCz,0.51,0.763,10,-4.62,0,0.0549,0.000433,0.000582,0.144,0.387,190.743,177511,4,jojo
Metaroom,TRASH CLAN,1Y7ovi4HD3yNzApYSm3coP,0.562,0.967,11,-5.557,1,0.332,0.000807,0.849,0.345,0.664,163.931,160976,4,jojo
Kanye West,I'm In It,52NmkyHsGsHGb1UX8fTkMg,0.485,0.604,1,-4.591,1,0.345,0.141,0.0,0.0668,0.45,170.337,234853,4,jojo
LunchMoney Lewis,Make That Cake (feat. Doja Cat),3H46DLWgIFfEoP4mOXEIzq,0.858,0.638,7,-4.742,1,0.321,0.106,0.0,0.107,0.697,155.828,173696,4,jojo
Rico Nasty,Big Titties (feat. Baauer and EarthGang),77lHSh6eoMiKWRxczAPQ1k,0.838,0.67,1,-6.854,1,0.31,0.0151,0.0,0.0892,0.632,170.037,172240,4,jojo
Glass Animals,Mama's Gun,5BGNCHo7771J5WcAWRO3jP,0.449,0.319,6,-10.139,0,0.0267,0.691,8.3e-06,0.116,0.231,90.026,266747,4,jojo
Coco & Clair Clair,Pretty,3L545updZMVxAsaYV6K8Z9,0.768,0.561,8,-6.657,1,0.0453,0.12,9.2e-06,0.0916,0.731,120.049,224350,4,jojo
Lorde,Supercut,6IIcLzR05sN1gk4ngzz7Kk,0.562,0.437,0,-10.229,1,0.052,0.219,2.18e-05,0.0806,0.15,124.852,277506,4,jojo
Rina Sawayama,XS,1TWNKyNQOBfNUkWWs7FooF,0.635,0.929,2,-3.256,0,0.146,0.0854,1.14e-06,0.0822,0.59,117.039,201060,4,jojo
Clairo,Amoeba,0HAqq2GcQKyi3s87GuN7jU,0.739,0.491,6,-11.515,1,0.027,0.791,0.0366,0.1,0.707,111.008,228922,4,jojo
Big Thief,Real Love,6lU6rPNgmEhilIurtFmkFm,0.303,0.494,0,-6.498,1,0.037,0.0331,8.11e-05,0.144,0.148,128.798,257385,4,jojo
10cc,I'm Not In Love,5HQEmiV2lKnSO6qa2fsR7x,0.404,0.523,4,-15.7,1,0.0575,0.685,0.000498,0.282,0.164,133.738,366640,4,jojo
Car Seat Headrest,Beast Monster Thing (Love Isn't Love Enough),6n3Axk0f9yRo3v6PNolCbk,0.447,0.808,11,-5.555,0,0.0384,0.0717,0.458,0.136,0.56,141.842,412394,4,jojo
Rico Nasty,Big Dick Energy,7GFRxsRFuaSgPBxvYnrYDL,0.812,0.837,9,-4.544,1,0.251,0.0429,0.0,0.163,0.436,160.09,144222,4,jojo
City Girls,Where The Bag At,7GlZhPkCA259c3ICFU0eaG,0.72,0.747,10,-4.266,1,0.166,0.0257,0.000183,0.359,0.424,176.085,200561,4,jojo
Remi Wolf,Photo ID (with Dominic Fike),1F35Dmog9pekyCVnH1eQpl,0.75,0.829,1,-4.942,1,0.0915,0.21,0.0,0.279,0.87,115.894,209971,4,jojo
Kero Kero Bonito,Well Rested,2as0SjHe6BVgirrR7GMqzY,0.626,0.875,1,-7.041,1,0.0483,0.00302,0.296,0.696,0.295,111.992,430752,4,jojo
Mitski,"Goodbye, My Danish Sweetheart",3iDMNG7MD7uCPMxBOa66ZI,0.652,0.435,1,-6.586,1,0.0384,0.813,0.0,0.106,0.473,120.006,137024,4,jojo
LOONA,Heart Attack (츄),6SSC9KZQaxBdyipKRigrFC,0.663,0.857,7,-3.457,1,0.0581,0.0524,0.0,0.591,0.75,99.014,194941,4,jojo
Sega Bodega,CC (feat. Shygirl),2bVMo5478evu0jBKb1oTq7,0.701,0.725,5,-7.795,0,0.21,0.0207,0.0132,0.126,0.556,145.015,211862,4,jojo
Otoboke Beaver,PARDON?,1OiEyOhzqSVy88ZO6Gzqxf,0.297,0.961,7,-1.302,1,0.235,0.0538,0.123,0.33,0.341,130.951,105467,4,jojo
Machine Girl,Excruciating Deth,7ehfk8KcDERZy94rqKDRZb,0.547,0.98,7,-4.759,1,0.27,0.000173,0.255,0.665,0.33,165.045,293878,4,jojo
U.S. Girls,L-Over,3nVZbbmFgFHk0VTnwWA3nG,0.558,0.794,1,-6.606,1,0.0507,0.428,0.0,0.394,0.502,88.964,245840,4,jojo
Indigo De Souza,Sleep Talking,02YWpfMAUVTvsbhu3QO9fM,0.518,0.217,9,-14.02,0,0.0479,0.31,0.0096,0.0682,0.237,168.219,186987,4,jojo
Anamanaguchi,My Skateboard Will Go On,3VAu7hzDbqJquXa0vHjwbJ,0.249,0.769,9,-4.157,1,0.0536,3.04e-05,0.861,0.0543,0.488,192.199,193352,4,jojo
Kanye West,Never Let Me Down,34j4OxJxKznBs88cjSL2j9,0.459,0.816,11,-4.872,0,0.403,0.423,0.0,0.169,0.643,80.293,324440,4,jojo
Car Seat Headrest,There Must Be More Than Blood,4aLVleE09ZRl720qy9yHIp,0.684,0.711,9,-6.476,1,0.0263,0.013,0.24,0.0619,0.477,144.016,453750,4,jojo
Death Grips,Death Grips Is Online,4EHv5m2D0zDYYAu4xZoYwm,0.522,0.962,6,-4.814,1,0.0765,0.00388,0.0528,0.406,0.415,146.392,211662,4,jojo
Flo Milli,Not Friendly,2le8xbpMJ1aA0SpJZRMbRw,0.878,0.793,1,-4.744,1,0.188,0.0539,0.0,0.0934,0.656,139.99,234991,4,jojo
My Chemical Romance,To the End,1GErReAT0swX36x3O8GyQn,0.372,0.975,10,-3.949,1,0.075,0.000133,4.29e-06,0.351,0.467,162.967,181027,4,jojo
The Buttress,Nothing Wrong with Me,7gOw0OUDsfqjTULYZsQtMc,0.602,0.711,1,-9.021,1,0.369,0.0322,0.0,0.0904,0.528,80.94,161000,4,jojo
Dayglow,Can I Call You Tonight?,64lsIF5pw0sJY0gV5kz0RN,0.641,0.842,9,-7.27,1,0.0292,0.132,0.91,0.419,0.5,129.98,278769,4,jojo
Danny Brown,Combat,3ZbTIbNjbLZtIxk39IRrBQ,0.693,0.816,1,-6.595,1,0.331,0.143,0.00136,0.48,0.666,101.852,218576,4,jojo
Otoboke Beaver,S'il vous plait,6NeSiZokIiQwJaqAID41Vy,0.495,0.977,4,-1.422,0,0.222,0.0336,0.000108,0.0997,0.556,99.09,135333,4,jojo
Candy Claws,Pangaea Girls (Magic Feeling),49DmTlbizOa1VTQRqVAuWJ,0.369,0.68,6,-5.666,1,0.0379,0.000364,0.676,0.149,0.438,119.952,191491,4,jojo
Kesha,Dinosaur,6e3fQ1fC1MX7kfbpyc13Pw,0.858,0.888,2,-3.881,1,0.177,0.0468,0.00021,0.0702,0.728,127.951,175187,4,jojo
Auntie Flo,Highlife - SOPHIE Remix,1QRzHpULC2uZqfsviuu90k,0.775,0.574,11,-7.971,0,0.128,0.0304,0.057,0.0724,0.624,133.582,265419,4,jojo
Mitski,Stay Soft,07zVQBJfbOuaAhpT3stRFL,0.602,0.678,7,-8.656,1,0.0299,0.0404,0.00075,0.121,0.552,104.969,196433,4,jojo
Pardison Fontaine,Backin' It Up (feat. Cardi B),0ldWh5GwkxnhjoUdGKzXEq,0.798,0.697,10,-4.803,0,0.299,0.0823,0.0,0.273,0.558,164.91,189501,4,jojo
Glass Animals,The Other Side Of Paradise,0rRjGruFonCGOt0S5zAJNQ,0.689,0.338,11,-7.634,0,0.0629,0.349,5.7e-05,0.0649,0.568,128.012,320654,4,jojo
Father,Who's Gonna Get Fucked First?,6IWQArAqcjGhBKnyom2b1G,0.888,0.397,3,-10.75,0,0.0769,0.168,0.264,0.113,0.349,132.029,147273,4,jojo
Death Grips,World Of Dogs,1vsdF31uQBAxLTXIUAke6T,0.355,0.782,0,-4.614,1,0.223,0.000212,0.00621,0.574,0.58,146.516,162427,4,jojo
Torraine Futurum,Miles from Heaven,7LsEB3YC1vVBqu3Cxp2clO,0.749,0.841,0,-6.711,1,0.189,0.00625,0.0116,0.121,0.278,124.029,215470,4,jojo
Goreshit,gay ass vampire shit,0hB42rb9ZbfJN231AbDnfe,0.401,0.999,2,-0.467,1,0.0997,7.95e-05,0.771,0.155,0.595,98.494,164496,4,jojo
Madge,H8R,3cowlJ4DjtFnWUgg6NDk9Q,0.598,0.453,3,-8.628,1,0.0549,0.0384,0.0,0.336,0.619,135.036,136889,4,jojo
Emily Montes,The Blessed Emily,7rltb4wQtU3ovGbPb16PWH,0.577,0.897,6,-5.302,0,0.132,0.00202,0.796,0.176,0.576,173.915,102724,4,jojo
Maliibu Miitch,Give Her Some Money,6hrHoJmuISU9FhbFxGgrr1,0.872,0.516,0,-8.826,0,0.106,0.0315,0.00038,0.191,0.249,89.499,171423,4,jojo
Indigo De Souza,Kill Me,66N8I6v00iQFPd56yU7dXf,0.627,0.351,9,-8.811,1,0.0402,0.00319,1.72e-05,0.29,0.255,117.918,260357,4,jojo
AURORA,Cure For Me,33WTgxRdPBQQpVCMXpNxhO,0.726,0.738,6,-6.589,0,0.0602,0.102,2.17e-05,0.0882,0.414,115.904,201640,4,jojo
Shou,Tasty Carrots,54FgTS1O5kbZLaPjsCFY6x,0.805,0.789,11,-4.404,0,0.497,0.0329,1.06e-06,0.18,0.539,140.006,176210,4,jojo
Indigo De Souza,How I Get Myself Killed,4kgbbVuAkGzmldwcJxagFT,0.528,0.497,11,-7.129,1,0.0312,0.118,2.82e-05,0.11,0.22,83.025,196250,4,jojo
Candy Claws,Into the Deep Time (One Sun),0lw2mLzNcwftfTvDojdySG,0.168,0.132,9,-6.378,1,0.0424,2.91e-05,0.862,0.35,0.109,79.388,181965,4,jojo
grandma,Stomp and Grind (feat. Rico Nasty),1Cd8NflZKY5kmQdPdhSJwI,0.759,0.496,0,-8.923,0,0.0624,0.331,0.0,0.104,0.527,103.0,179333,4,jojo
Soulja Boy,Kiss Me Thru The Phone,2q4rjDy9WhaN3o9MvDbO21,0.758,0.712,7,-3.781,1,0.112,0.0185,0.0,0.0677,0.795,149.998,193387,4,jojo
glass beach,classic j dies and goes to hell part 1,3ezuOjWuTirncJITAb8ahf,0.235,0.702,0,-5.112,0,0.0588,0.00985,0.000184,0.326,0.215,80.013,304145,4,jojo
SOPHIE,VYZEE,7sSB5P2m9vicw8b2PKt3T9,0.895,0.571,4,-5.569,1,0.326,0.145,0.0,0.711,0.732,129.997,202531,4,jojo
Rina Sawayama,Comme Des Garçons (Like The Boys),2W0Wz0NzO7u5kcb7dGvv5w,0.724,0.714,0,-3.776,1,0.116,0.0246,0.00308,0.441,0.65,119.162,181506,4,jojo
Aminé,RATCHET SATURN GIRL,2q4F6OpQgx9umNB9uGFPYo,0.538,0.605,3,-5.413,1,0.119,0.0378,0.0,0.159,0.657,39.497,146573,4,jojo
Anderson .Paak,Come Down,276zciJ7Fg7Jk6Ta6QuLkp,0.841,0.898,8,-7.135,1,0.104,0.271,0.0151,0.304,0.931,98.401,169727,4,jojo
Alice Longyu Gao,100 Boyfriends,4bIYlBqq2HGHTvLqV9E1f8,0.847,0.771,1,-6.394,1,0.297,0.119,0.101,0.162,0.795,158.987,116310,4,jojo
Kero Kero Bonito,Lipslap,2oZHqyiEdQvZimjrdQrEtF,0.812,0.828,4,-4.984,0,0.0706,0.0343,0.00104,0.347,0.909,124.035,219677,4,jojo
WJSN,Pantomime,4lPsBlof2cjAIArw0nOGvQ,0.717,0.929,6,-2.414,1,0.132,0.119,0.0,0.541,0.773,127.024,208047,4,jojo
Baby Tate,Pretty Girl,3oFlyenXjgsCoLCO90sAdY,0.891,0.741,1,-6.23,1,0.402,0.032,0.0,0.0931,0.402,151.942,153234,4,jojo
Molly Brazy,Fight Me,57EM80IR7Gj3zgUT9SSmqe,0.739,0.691,8,-7.957,1,0.354,0.0299,0.0,0.679,0.596,167.981,166185,4,jojo
Alice Glass,NIGHTMARES,7mSlQDf71bBDU3vRMJCSol,0.449,0.863,7,-2.849,1,0.514,0.487,0.0,0.84,0.636,154.728,132533,4,jojo
Fiona Apple,Shameika,2pDKE8Q40TDGPl1O11DKKn,0.375,0.776,8,-6.767,1,0.274,0.154,8.16e-05,0.0925,0.647,186.814,248603,4,jojo
ミドリ,お猿,1R6knwr1q0ylkanX1mBe75,0.515,0.768,4,-3.703,0,0.137,0.0177,0.000402,0.0502,0.867,99.067,128960,4,jojo
Rina Sawayama,Cherry,36RGU7buus2UUtrPZ78hkR,0.576,0.79,3,-3.463,1,0.0509,0.0129,4.69e-06,0.344,0.629,102.033,205224,4,jojo
Death Grips,Billy Not Really,6dxm3Z8U4lOJTWo6cGVDCR,0.304,0.923,5,-4.005,0,0.43,0.129,0.0,0.623,0.468,150.795,228782,4,jojo
Qumu,"Bubblegum K.K. (From ""Animal Crossing: New Leaf"")",6UwVBumIzgJg1GJwRbgYDy,0.489,0.485,7,-12.502,1,0.0727,0.29,0.871,0.0662,0.422,113.227,158400,5,jojo
Daneshevskaya,Dr. Johann Averies,0FXTj56OeM7A1FDV6N3bmw,0.401,0.297,2,-9.541,1,0.0301,0.793,1.53e-05,0.113,0.283,68.304,233985,4,jojo
Carly Rae Jepsen,I'll Be Your Girl,51UAm8F9u16skm1R1ckMwr,0.671,0.659,10,-5.533,1,0.0404,0.00794,0.000369,0.122,0.742,152.016,178707,3,jojo
Soulja Boy,Pretty Boy Swag,6sQH5GFuqhvemSdP2oOfRi,0.837,0.42,8,-5.158,1,0.0629,0.177,0.0,0.356,0.143,123.157,236093,4,jojo
Fiona Apple,For Her,5BBWr1LUsCH1tECJLAUGnP,0.431,0.522,8,-9.022,1,0.39,0.806,0.0,0.373,0.447,174.085,163720,4,jojo
Kero Kero Bonito,It's Bugsnax!,1goNp8FZSjak6UHYsawniU,0.664,0.888,7,-3.833,1,0.027,0.0904,2.1e-06,0.363,0.886,108.003,210168,4,jojo
Juicy J,TAKE IT,7gWoH2UDpBkQsq6KOuZXLw,0.699,0.735,1,-7.356,1,0.334,0.00128,1.45e-06,0.117,0.606,172.089,252542,4,jojo
Lorde,A World Alone,55N0YHhO55Q1lWsc4dDPcI,0.561,0.485,1,-8.343,0,0.0362,0.289,0.00164,0.194,0.0663,118.017,294222,4,jojo
Rina Sawayama,Paradisin',0e1yfIkdDkvhSo2dFYCZIL,0.59,0.749,0,-2.816,1,0.0532,0.0153,0.0,0.19,0.61,87.512,186018,4,jojo
Payday,Vampire - 1300 Remix,0GD39aIdx8AdViz1RFFZWh,0.546,0.865,7,-5.895,1,0.34,0.0104,0.0,0.316,0.637,89.259,206333,4,jojo
mxmtoon,ok on your own (feat. Carly Rae Jepsen),36GBFPY75lJpxk7GugxhL7,0.766,0.439,7,-8.842,0,0.0757,0.44,1.36e-05,0.0698,0.413,141.917,208333,4,jojo
Kero Kero Bonito,Battle Lines,1YgbxtF7oePn9Gi7W03ysO,0.532,0.897,2,-5.426,1,0.037,0.0331,0.461,0.0917,0.724,108.993,258930,4,jojo
BENEE,Plain (feat. Lily Allen & Flo Milli),4CwcIiZQvy4d9SxAUn5OaJ,0.824,0.545,1,-6.062,1,0.0708,0.269,0.0,0.0928,0.827,122.999,231898,4,jojo
Freddie Gibbs,High (feat. Danny Brown),2bSF5Qs8IQE9RRaZIef7mO,0.566,0.805,1,-8.32,1,0.321,0.186,0.0,0.428,0.616,118.965,177640,4,jojo
Fickle Friends,Broken Sleep,5DWaEpFT3vqOrr3fTaOhA6,0.664,0.859,1,-5.483,0,0.0331,0.0344,0.0,0.1,0.829,119.994,171965,4,jojo
BIA,YAKWTFGO (feat. Kali Uchis),6rrP1mBTbBkJCP7FsBe0SM,0.812,0.748,5,-5.959,0,0.139,0.00397,0.0,0.174,0.158,132.035,162733,4,jojo
cupcakKe,Grilling Niggas,65UFucLPiVySQbDxw7zpqu,0.867,0.69,1,-5.129,1,0.197,0.147,0.0,0.562,0.25,150.0,175152,4,jojo
Sweet Trip,Pro: Lov: Ad,7rR1msZYCT2MlrssnJMYgw,0.473,0.553,7,-9.956,0,0.123,0.629,0.122,0.0927,0.672,176.988,346307,4,jojo
The Internet,Come Over,70Tf2nUzVd9UfyJHwM5lic,0.525,0.603,5,-7.954,0,0.188,0.0918,0.206,0.129,0.691,92.032,321920,4,jojo
Rina Sawayama,Flicker,4dt65BryNBYLgcKq4FJjbK,0.611,0.918,10,-4.096,0,0.0628,0.334,0.0,0.19,0.766,138.981,180271,4,jojo
HOLYCHILD,Bathroom Bitch,75bLecYzbQpsnFMSWl055x,0.631,0.906,11,-4.463,0,0.0891,0.011,0.0328,0.408,0.647,143.971,169984,4,jojo
Cornelius,Typewrite Lesson,2JEZdhsjF848Elx2XO3onI,0.478,0.405,0,-9.348,1,0.351,0.554,0.000684,0.106,0.128,79.872,346227,5,jojo
SOPHIE,Immaterial,02Mkz55cCAHabqlxwSP6X0,0.776,0.717,2,-4.897,1,0.0836,0.115,0.00755,0.327,0.828,139.995,232807,4,jojo
Kanye West,School Spirit,1th3G3okofWlvGWAAR7Y4V,0.483,0.787,5,-5.422,0,0.21,0.339,0.0,0.236,0.592,84.81,182387,4,jojo
"Tyler, The Creator",Goblin,5LJD1sBRPnDkhWs2D5qRk2,0.456,0.529,5,-12.651,0,0.828,0.534,0.0,0.219,0.444,78.235,408520,4,jojo
Otoboke Beaver,PARDON?,7l6yDpU2vIDXFQpdEYgpNO,0.297,0.961,7,-1.302,1,0.235,0.0538,0.123,0.33,0.341,130.951,105467,4,jojo
MARINA,I Am Not a Robot,4Og5nDOUVu3ZrYQP4Ungyg,0.606,0.636,2,-4.559,1,0.0278,0.57,1.65e-06,0.0944,0.452,120.04,214427,4,jojo
Kanye West,New Again,75QktuEju5vz9lyXiLaUao,0.67,0.675,6,-4.624,0,0.179,0.0581,0.0,0.433,0.263,90.948,183297,4,jojo
Rina Sawayama,LUCID,5DVATjQZPVsm5kWbrPmekU,0.672,0.895,8,-2.836,1,0.0469,0.0145,0.000968,0.175,0.412,125.983,218108,4,jojo
GameChops,Lonely Rolling Star,3wkejkspxUUrX4G7zdpQSd,0.55,0.678,8,-4.544,1,0.0375,0.024,0.00431,0.113,0.333,170.005,344575,4,jojo
Vulfpeck,Dean Town,1oOD1pV43cV9sHg97aBdLs,0.796,0.608,11,-10.936,1,0.041,0.499,0.887,0.0979,0.907,108.756,213303,4,jojo
Lady Gaga,G.U.Y.,5ve8saw5u0CbP9fcyNzmxN,0.616,0.919,5,-3.468,0,0.0401,0.0141,0.0,0.117,0.572,110.008,232667,4,jojo
Fiona Apple,Fetch The Bolt Cutters,4SdubskbLiOkpsIjRVVsya,0.485,0.488,0,-11.34,1,0.171,0.526,2.02e-05,0.0686,0.339,150.856,298457,4,jojo
Daft Punk,One More Time,0DiWol3AO6WpXZgp0goxAV,0.613,0.697,2,-8.618,1,0.133,0.0194,0.0,0.332,0.476,122.746,320357,4,jojo
100 gecs,bloodstains,1j581GCDFQ9P8xd6fyjgLt,0.547,0.398,10,-9.142,1,0.541,0.182,0.000436,0.308,0.406,87.373,129015,4,jojo
osno1,A Conversation I Overheard,7jUa6Loc6TGsmXqxpawkvK,0.42,0.875,5,-3.196,1,0.128,0.0228,0.0158,0.0498,0.524,149.86,257623,4,jojo
Indigo De Souza,What Are We Gonna Do Now,1K3RvsS9oMpii4yD1uOQlN,0.363,0.255,4,-8.6,1,0.0813,0.386,0.0,0.104,0.105,201.624,204292,3,jojo
Consequence,"The Good, The Bad, The Ugly (feat. Kanye West) - Explicit Album Version",52uU5uNt9lOstGCc6C7QEJ,0.473,0.913,11,-3.372,0,0.444,0.0271,0.0,0.0784,0.721,94.571,251907,4,jojo
Mitski,Strawberry Blond,3eGsNpXzcb1BDkfSJI54NY,0.553,0.545,0,-8.299,1,0.0867,0.839,0.0,0.061,0.943,77.332,114277,4,jojo
Rihanna,Needed Me,1Tt4sE4pXi57mTD1GCzsqm,0.671,0.314,5,-8.091,0,0.244,0.11,0.0,0.0825,0.296,110.898,191600,4,jojo
MGMT,Kids,1jJci4qxiYcOHhQR247rEU,0.451,0.931,9,-3.871,1,0.0719,0.00076,0.0049,0.361,0.172,122.961,302840,4,jojo
Lady Gaga,Applause,2Zj4FUsMtu9PMuJsHbGbdv,0.669,0.78,7,-4.287,0,0.053,0.0265,1.63e-06,0.143,0.738,139.945,212333,4,jojo
Aminé,Wedding Crashers,3nVDOYBJpdCkRR6r1DbZum,0.853,0.496,11,-7.984,0,0.243,0.026,0.0,0.0421,0.947,135.99,229800,4,jojo
Beyoncé,Crazy In Love (feat. Jay-Z),5IVuqXILoxVWvWEPm82Jxr,0.646,0.77,2,-6.596,0,0.226,0.00249,0.0,0.0715,0.681,99.165,236133,4,jojo
Death Grips,Spikes,11TpRtA1zMLeAPTLloNmG4,0.339,0.922,8,-4.3,1,0.561,0.111,0.0,0.0812,0.343,179.909,185404,4,jojo
Breakbot,Baby I'm Yours - feat. Irfrane,7oGwQOTkMB9Sk3DIKJLd5F,0.831,0.794,2,-3.701,0,0.0752,0.705,3.4e-05,0.0978,0.735,118.075,215787,4,jojo
Thundercat,Them Changes,7CH99b2i1TXS5P8UUyWtnM,0.657,0.562,8,-8.6,1,0.0601,0.54,0.00143,0.101,0.704,81.657,188454,4,jojo
Denzel Curry,Ultimate,6R0GRYk2vs2XuBVemYK5YZ,0.493,0.826,9,-3.106,1,0.311,0.095,3.42e-06,0.252,0.75,112.865,189974,4,jojo
Otoboke Beaver,I am not maternal,2kVBf5PiS9LBhvDaBQ4uue,0.341,0.98,4,-1.393,1,0.235,0.0447,0.455,0.0755,0.756,176.463,127947,4,jojo
Remi Wolf,Sauce,5uW2R7x5qyIRQRrQN38rsp,0.724,0.664,8,-6.626,0,0.309,0.397,0.000169,0.224,0.599,139.847,230175,4,jojo
Kitty,Scout Finch Bitch,3LbrJ3y1XipPlAUGMJLHf2,0.384,0.765,11,-5.173,0,0.421,0.447,2.05e-06,0.323,0.479,167.489,152200,4,jojo
