,artist,track,uri,nick_history,jojo_history,rich_history
62,Liza Anne,Bummer Days,spotify:track:5XgD3IJKhhChTDtoRzl2V6,,True,
63,Vince Staples,Yeah Right,spotify:track:35tWhD29yvWwB0IDRr6zsL,,True,
64,mxmtoon,prom dress,spotify:track:2xCGBWfzTe8l2kvHpgvB6M,True,True,
65,ミドリ,ゆきこさん,spotify:track:7EzsrJjJQBXRPiAPijADtG,,True,
66,Kanye West,Facts (Charlie Heat Version),spotify:track:3MnbXlC1N7GdS9M8HzA6no,,True,
67,Empress Of,I Don't Even Smoke Weed,spotify:track:4AcjZoKIpV3s1jWdkSGWnJ,,True,
68,Car Seat Headrest,Nervous Young Inhumans,spotify:track:4EQlTA60UgWuSrc1UfWUyQ,,True,
69,Machine Girl,うずまき,spotify:track:6pD8zEYJc0096VvUQAcEO0,,True,
70,Dorian Electra,M'Lady (feat. Kero Kero Bonito) [S3RL Remix],spotify:track:327Y6xTmonBO9FY01ZKuti,,True,
71,Rhymefest,Brand New (feat. Kayne West) - Dirty,spotify:track:3hdtox1ZVmJBF9YjcEUy1o,,,
72,Ashnikko,Maggots,spotify:track:4z273kPQy8lRomWDuwOrb4,,True,
73,The Strokes,Reptilia,spotify:track:57Xjny5yNzAcsxnusKmAfA,,True,
74,Faye Webster,Flowers (feat. Father),spotify:track:7AkCXyHbKYgySIjqVzG3jm,,True,
75,REI AMI,SNOWCONE,spotify:track:1VBcGsab5bnDFr319bzSWO,,True,
76,Kanye West,Fade,spotify:track:3cCxoOgfi6hgt8MNteuiiD,,,
77,Car Seat Headrest,Cute Thing,spotify:track:7AppWYIm98qFOGVMbNHJSB,,True,
78,Machine Girl,Post Rave Maximalist,spotify:track:39yRcZYyAxUsb4S7kQBpJB,,True,
79,Shakira,She Wolf,spotify:track:4cS2HQ6jK80vqdY9ofpztx,,True,
80,Sylvan Esso,Radio,spotify:track:0idjTHGhGRBdWTmsalq3tF,,True,
81,Rina Sawayama,Akasaka Sad,spotify:track:32umfTzGdXsWOTNaRGR5hd,,True,
82,Mitski,Nobody,spotify:track:6bTn1ovliI0OkjUNkiMBJq,True,True,
83,Otoboke Beaver,anata watashi daita ato yome no meshi,spotify:track:2jE1o5TKervwpdJFk91VlD,,True,
84,Fiona Apple,Relay,spotify:track:5hnOzmFuGltDDAm008jFDh,,True,
85,Kendrick Lamar,m.A.A.d city,spotify:track:2cDCojn6uIBM6A5xTAbl3H,True,True,True
86,Leikeli47,Post That,spotify:track:20Befu2qTvZv19YMJinWL2,,True,
87,Doja Cat,Boss Bitch,spotify:track:78qd8dvwea0Gosb6Fe6j3k,,True,
88,BenZel,Touch,spotify:track:0iASzYgB1Np2eMYmYDzn2P,,True,
89,Baby Keem,family ties (with Kendrick Lamar),spotify:track:7Bpx2vsWfQFBACRz4h3IqH,True,True,True
90,"Tyler, The Creator",WILSHIRE,spotify:track:1pbbsI2KGPOMu0HmuGccBu,,True,
91,Baby Keem,vent,spotify:track:1ITpqT1kDATCtMBwOK7sYn,,,
92,Flo Milli,Beef FloMix,spotify:track:4J2NxCNqehE0MiZhbu97Jx,,True,
93,Djflykidd,let me see you do it,spotify:track:7lllENfxsWJccElSNXuGOJ,,True,
94,Cocteau Twins,Serpentskirt,spotify:track:5D8SzvASRr7V7ZrrXsh6SY,,,
95,The Pom-Poms,I Got That Boom,spotify:track:1lNwBlwE9MH3FtKN0FkiH7,,True,
96,ROSALÍA,MALAMENTE - Cap.1: Augurio,spotify:track:1B0BQaSRHxhI0AUlItY3LK,,True,
97,Rico Nasty,Countin' Up,spotify:track:6UFG7GbMAeeMijEyrp6f1D,,True,
98,Rico Nasty,Roof,spotify:track:1uX18gfpzbP8iLaOjy6p3V,,True,
99,Chloe x Halle,Galaxy,spotify:track:7d56WYqFkqL7y9V7PnMj7W,,True,
100,Kanye West,Two Words,spotify:track:62wtttQzoIA9HnNmGVd9Yq,,,
101,Lil Jon,Drink - Dirty,spotify:track:41QtT8n6Sfu1wFEUKLya8L,,True,
102,Anderson .Paak,Jet Black (feat. Brandy),spotify:track:70pZIQqQ37SrNCADx0FiPN,,True,
103,"Tyler, The Creator",BEST INTEREST,spotify:track:3jHdKaLCkuNEkWcLVmQPCX,True,True,
104,Alice Longyu Gao,I <3 Harajuku,spotify:track:1fMIomiIqQUSLynNzU4y1w,,True,
105,DeJ Loaf,No Fear,spotify:track:2H881m3JRA8lpuuwaQL6zy,,True,
106,Kanye West,Jail,spotify:track:42ZrMq4BKsWDrrbMnMRYaK,True,True,
107,Ashnikko,Thrust,spotify:track:1VBMwGHIe0dsPU5Rn2ELU3,,True,
108,Grimes,We Appreciate Power,spotify:track:5b0DJPEs6UUlDmpZuoDD2X,,True,
109,Ashnikko,Halloweenie II: Pumpkin Spice,spotify:track:0RcwpbPBHFj18vIs5yGdxg,,True,
110,Kero Kero Bonito,Pocket Crocodile,spotify:track:4hglQSLy3PHgu2e1kQ5qxe,,True,
111,HARU NEMURI,narashite,spotify:track:7IIRN7KZksXp9ieBFmNuHI,,,
112,Kanye West,Stronger,spotify:track:4fzsfWzRhPawzqhX8Qt9F3,,True,True
113,Baby Tate,Mean Girl (feat. Queen Key & Asian Doll),spotify:track:61HXix5FqC7fuqty8sQJ0r,,True,
114,Kendrick Lamar,i,spotify:track:7wdzLe2Gsx1RGqbvYZHASz,,True,
115,Death Grips,This Is Violence Now (Don't Get Me Wrong),spotify:track:6ftc8xATHBNzStXlzRAmjA,,True,
116,Kanye West,I Thought About Killing You,spotify:track:0yhxBvedRdGxsPZHJNI4VA,,True,
117,Death Grips,Hacker,spotify:track:7y8X0Z04gJCKtfrnSAMywJ,,True,
118,BABYNYMPH,clown shit (up the wall) [SOPHIE Remix],spotify:track:4fORekngPoCqeJpe3xg6GQ,,True,
119,Lorde,400 Lux,spotify:track:6rjtB7KSIiJ6v9vrACMlqF,True,True,
120,Twista,Slow Jamz,spotify:track:3A4cpTBPaIQdtPFb5JxtaX,,True,True
121,Tommy Genesis,100 Bad,spotify:track:5Q36ZTmWp2QQZnyUZLeVE9,,True,
122,Remi Wolf,Hello Hello Hello,spotify:track:1xNknVNOolLB4oQeEtNBX2,,True,
123,Charli XCX,Trophy,spotify:track:3LcH7UHXAstKd0qUDdlRQa,,True,
124,Mitski,First Love / Late Spring,spotify:track:1Ac5BDsGUMQ3tsW2vnc52x,,True,
125,The Buttress,Miracle Gro,spotify:track:7sw544QR3eAN1zTnF4evlk,,True,
126,Seth Parker,Escape from Snaxburg,spotify:track:45UXnJBhQPFPAiRQTakxP5,,True,
127,Baby Tate,That Girl,spotify:track:1eGW9NUzLN1roVpWWyjVI8,,True,
128,Indigo De Souza,Take Off Ur Pants,spotify:track:1hT40puiAJU7uTcUZGmcdN,,True,
129,JAY-Z,No Church In The Wild,spotify:track:3Osd3Yf8K73aj4ySn6LrvK,,,True
130,Ashnikko,Drunk With My Friends,spotify:track:2YBN2v1sRizy1bQQFMlDEI,,True,
131,The Carters,APESHIT,spotify:track:0E6PsO3ymCfUh7pJQjBgkj,,,
132,"Slaughter Beach, Dog",Your Cat,spotify:track:0nKrDJLm94OpQElETtklsh,,True,
133,Doja Cat,Rules,spotify:track:1TMWcbxL5YF8rKsFHv5hAP,,True,
134,Kanye West,Flashing Lights,spotify:track:31I3Rt1bPa2LrE74DdNizO,,True,True
135,Coco & Clair Clair,Bugs,spotify:track:0cnR7d3VZCgAIemWVvtHlO,,True,
136,Kanye West,Runaway,spotify:track:3DK6m7It6Pw857FcQftMds,True,True,True
137,Kero Kero Bonito,Only Acting,spotify:track:4aIoxZWHySrA3BpnmeREXJ,,True,
138,My Chemical Romance,"Give 'Em Hell, Kid",spotify:track:0axF06XwNLobcx5z8BVtYw,,True,
139,Porter Robinson,Get Your Wish,spotify:track:1HjZDqiaUrq46GHhHXE4vG,,True,
140,Death Grips,Runway H (2),spotify:track:3jwj0MUCNJyoYVe7AYD0aQ,,True,
141,Rico Nasty,Cold,spotify:track:4Onanh2sbZQKTGH8KvWzxS,,True,
142,Death Grips,Black Dice,spotify:track:08R0UATC6bzZst68bkuAXk,,True,
143,Japanese Breakfast,Be Sweet,spotify:track:2X3J1zgsKEkTSYnjsUQlUZ,,True,
144,Kate NV,Kata,spotify:track:65Z94VSjcmkV8qFz4GoyFE,,True,
145,Clairo,Sofia,spotify:track:7B3z0ySL9Rr0XvZEAjWZzM,True,True,
146,Tempalay,そなちね,spotify:track:4pRqrKiiCPrGKJ1AnG4jOU,,True,
147,HOLYCHILD,Bathroom Bitch,spotify:track:5Q57Nxvba39Vgg0ncWzbAD,,True,
148,Hook,Crashed My Car,spotify:track:1FcPNWGbtcBJ4Igg0uMKy9,,True,
149,Flo Milli,May I,spotify:track:1GcXzijYzyfMq6wryZjYW5,,True,
150,SOPHIE,Nothing More to Say - Dub,spotify:track:7rGmOXB4xH2A5jEK0gKD3N,,True,
151,Leikeli47,Girl Blunt,spotify:track:1lAGdqI4Wwa8G0XTP6VqHl,,True,
152,"Tyler, The Creator",Yonkers,spotify:track:1nwkSqzTyXBk6XF796EOav,True,True,
153,K.I.D,I Cannot Sleep at Night,spotify:track:68CAOhFrKd8c41asvSvJDQ,,True,
154,Remi Wolf,Doctor,spotify:track:4qGURS4yKfZnQw495NGyAT,,True,
155,Rico Nasty,IPHONE,spotify:track:4n21zISadDVx1FFJNfJ67J,,True,
156,Rage Against The Machine,Killing In The Name,spotify:track:59WN2psjkt1tyaxjspN8fp,,True,
157,Kanye West,I Love It (& Lil Pump),spotify:track:4S8d14HvHb70ImctNgVzQQ,True,True,
158,BROCKHAMPTON,DON'T SHOOT UP THE PARTY,spotify:track:3X0Tof7fViQGV95EKIY5x1,,True,
159,Aminé,Heebiejeebies - Bonus,spotify:track:32xx0fAv3CIeGmNaWTHvEF,,True,
160,Rina Sawayama,Sleeping in Waking,spotify:track:5pFhMCgUcZ93S64lLMD0ZV,,True,
161,Slim Poppins,Cherry Bomb,spotify:track:11AzB3x9q4QtLnZVxpeWKb,,True,
162,Vampire Weekend,Campus,spotify:track:7ui9Qq4JcPGcd3xWOeXhHp,,True,
163,Kanye West,Off The Grid,spotify:track:2gbMPBrBVj3CuNTLp2dHYs,,True,True
164,Stars,Your Ex-Lover Is Dead,spotify:track:6XGKlssGb3oE9IUCvjLthd,,,
165,Baby Tate,B.O.M.B.S.,spotify:track:4D8KWoUe3oTaQSQq928X7B,,True,
166,Rico Nasty,Popstar,spotify:track:6Ww2sVKm8i3ONuCmZomqft,,True,
167,Charli XCX,No Angel,spotify:track:4neipBD8hA1q2g1FS9hgAC,,True,
168,Otoboke Beaver,Don't light my fire,spotify:track:18ThXUp9jiQg26iD1w8reE,,True,
169,Victoria Monét,Experience,spotify:track:0hRRNHeSZv2x6pHCcXPAct,,True,
170,MF DOOM,Om - Edit,spotify:track:4XxkCL8qAoz8vZ2g5JdvAl,,True,
171,A$AP Rocky,Praise The Lord (Da Shine) (feat. Skepta),spotify:track:7ycWLEP1GsNjVvcjawXz3z,,True,True
172,NANORAY,Sequential Dreambox,spotify:track:0SNe7A2rdfmvL6YxqJSZEt,,,
173,Alice Longyu Gao,Dumb Bitch Juice,spotify:track:3PIch19Ly5hNPPGf1PJefy,,True,
174,Megan Thee Stallion,Diamonds (with Normani),spotify:track:0PQsrLxPbOBBwwmXCnGvcF,,True,
175,Tove Lo,Bad as the Boys (feat. ALMA),spotify:track:1CGQTaQVVfA0CNae8IwPyC,,True,
176,Daddy Yankee,"Gasolina (with Pitbull, Lil Jon, Noriega, Dj Buddha) - Dj Buddha Remix",spotify:track:2TXMsGsDbTBPTqwCoKzMl7,,True,
177,KIDS SEE GHOSTS,Reborn,spotify:track:4RVbK6cV0VqWdpCDcx3hiT,True,True,True
178,Lorde,The Love Club,spotify:track:2yrJ1jWo3HLksJFUqUsZE4,,True,
179,Cities Aviv,URL IRL,spotify:track:7zgGrCPf90ofUqWmROtm2w,,True,
180,Leikeli47,Acrylic,spotify:track:0XfWFaFpr7wIPEhMkX78Lt,,True,
181,Briston Maroney,Bottle Rocket,spotify:track:0ANOK8C8kRTR5AKjW3G62V,,True,
182,Kanye West,The Glory,spotify:track:795LIYKphBOsvyMh5hZaPk,,True,
183,cupcakKe,Garfield,spotify:track:3WRiWRkolTkYHKqMGsYsOT,,True,
