,artist,track,uri,nick_history,jojo_history,rich_history,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,duration_ms,time_signature
19,Cuco,Drown,03ZkvqZOANKndGXfAAPywG,,True,True,0.674,0.615,0,-8.188,1,0.147,0.455,0.00091,0.208,0.756,85.048,audio_features,03ZkvqZOANKndGXfAAPywG,234056,4
20,Kanye West,No More Parties In LA,0zLClc0emc6qUeV1p5nc99,,True,True,0.508,0.921,5,-1.644,1,0.303,0.246,0,0.221,0.681,93.058,audio_features,0zLClc0emc6qUeV1p5nc99,374413,4
21,Mitski,Why Didn't You Stop Me?,2nifujUVU1XyhTSHI2kQ8g,,True,,0.609,0.859,0,-5.215,1,0.0436,0.000358,0.111,0.0749,0.558,120.038,audio_features,2nifujUVU1XyhTSHI2kQ8g,141978,4
22,FEMM,Falling For A Lullaby,0b4FCXSNVqT4GXTs7ck4vj,,True,,0.612,0.746,6,-3.749,1,0.038,0.00722,9.61e-06,0.142,0.466,115.009,audio_features,0b4FCXSNVqT4GXTs7ck4vj,214165,4
23,JAY-Z,Ni**as In Paris,4Li2WHPkuyCdtmokzW2007,,True,True,0.789,0.858,1,-5.542,1,0.311,0.127,0,0.349,0.775,140.022,audio_features,4Li2WHPkuyCdtmokzW2007,219333,4
24,recovery girl,physical touch,37dffoVwZn3gV8VaVP4Rlx,,True,,0.542,0.915,7,-6.631,1,0.0611,0.00197,0.05,0.367,0.409,140.068,audio_features,37dffoVwZn3gV8VaVP4Rlx,156035,4
25,Danny Brown,Really Doe,6dHatCnuOb1TdBIeJTK3Y0,,True,,0.692,0.983,1,-3.469,1,0.29,0.0417,0,0.21,0.792,75.992,audio_features,6dHatCnuOb1TdBIeJTK3Y0,319434,4
26,Kevin Abstract,Miserable America,5WPVwig7Tl6NFJ5BL6ONhd,,True,,0.613,0.688,6,-6.297,1,0.0612,0.224,7.75e-05,0.381,0.302,105.027,audio_features,5WPVwig7Tl6NFJ5BL6ONhd,164986,4
27,Cults,Always Forever,2enPRFda84VE2wtI8c86Uf,,True,True,0.174,0.742,8,-5.93,1,0.0485,0.00181,0.281,0.198,0.36,163.378,audio_features,2enPRFda84VE2wtI8c86Uf,223747,4
28,The Aces,Lovin' is Bible,40c498Ic7gnr1znNRZiPPV,,,,0.68,0.871,1,-4.691,1,0.0682,0.139,0,0.0925,0.834,114.052,audio_features,40c498Ic7gnr1znNRZiPPV,200363,4
29,Vince Staples,Like It Is,6yHZ09mUcQRZtWBYW73OoQ,,True,,0.389,0.555,6,-10.76,1,0.405,0.182,8.77e-06,0.334,0.698,90.425,audio_features,6yHZ09mUcQRZtWBYW73OoQ,276160,5
30,Omar Apollo,Useless,7dJN4NWQuqCjWwIT3UwOps,,True,,0.612,0.565,5,-7.609,1,0.0414,0.585,0.00174,0.0827,0.545,89.895,audio_features,7dJN4NWQuqCjWwIT3UwOps,183693,4
31,Kanye West,All Of The Lights,22L7bfCiAkJo5xGSQgmiIO,,True,True,0.531,0.803,1,-3.284,1,0.0717,0.0796,1.71e-05,0.176,0.221,142.113,audio_features,22L7bfCiAkJo5xGSQgmiIO,299613,4
32,Machine Girl,Cyan Hardcore,5DbCXRs5PXXDgFrsdzjGDg,,True,,0.545,0.985,1,-5.374,1,0.0472,6.8e-05,0.781,0.183,0.735,153.999,audio_features,5DbCXRs5PXXDgFrsdzjGDg,305502,4
33,MARINA,Venus Fly Trap,6h7AmUi3ghBeEfsZygAxOd,,True,,0.586,0.856,9,-4.392,0,0.0512,0.0883,1.73e-06,0.341,0.518,135.095,audio_features,6h7AmUi3ghBeEfsZygAxOd,158733,4
34,Goldie Boutilier,Sex Paranoia,4vSjVkVtHDZAuqEqlFUQpt,,True,,0.773,0.708,1,-7.126,1,0.0453,0.0283,0.12,0.168,0.86,110.043,audio_features,4vSjVkVtHDZAuqEqlFUQpt,253353,4
35,Illuminate,Taxi Man,3xm7RSWUoU49BV9AuY9zx4,,True,,0.633,0.958,10,-3.997,0,0.143,0.0012,0.176,0.117,0.613,127.939,audio_features,3xm7RSWUoU49BV9AuY9zx4,269192,4
36,Moe Shop,Love Taste,0XVoD3TmJVEYdRzZoe0Ewy,,True,,0.673,0.637,11,-8.022,0,0.28,0.000837,0.846,0.16,0.592,110.01,audio_features,0XVoD3TmJVEYdRzZoe0Ewy,176193,4
37,Rebecca Black,Better in My Memory,0eWCi968jvfFZiLSMiOeFD,,True,,0.584,0.778,11,-6.338,1,0.0664,0.108,0.00175,0.249,0.62,155.061,audio_features,0eWCi968jvfFZiLSMiOeFD,170886,4
38,Jasiah,Art of War (feat. Denzel Curry & Rico Nasty),75tFBhZ34HNOiPder8VFYt,,True,,0.782,0.794,1,-5.789,1,0.291,0.0416,0,0.199,0.755,138.965,audio_features,75tFBhZ34HNOiPder8VFYt,186473,4
